CODIGO_PRODUTO;PRODUTO_DESCRICAO;CATEGORIA_PRODUTO;TIPO_EMBALAGEM_PRODUTO_SIGLA;UNIDADE
540;TENDER  "PALMALI";PRODUTOS EPOCAS ESPECIAIS;GRA;1KG
541;TENDER "FRIMESA";PRODUTOS EPOCAS ESPECIAIS;GRA;1KG
542;TENDER "SEARA";PRODUTOS EPOCAS ESPECIAIS;GRA;1KG
354;PANETTONE C/ GOTAS DE CHOC. "VISCONTI";PRODUTOS EPOCAS ESPECIAIS;CXA;500GR
620;SIDRA CERESER S/ALCOOL;PRODUTOS EPOCAS ESPECIAIS;GAR;660ML
621;SIDRA CERESER;PRODUTOS EPOCAS ESPECIAIS;GAR;660ML
622;FILTRADO GOTAS DE CRISTAL;PRODUTOS EPOCAS ESPECIAIS;GAR;660ML
623;FILTRADO CHUVA DE PRATA;PRODUTOS EPOCAS ESPECIAIS;GAR;660ML
624;FILTRADO S/ALCOOL CHUVA DE PRATA;PRODUTOS EPOCAS ESPECIAIS;GAR;660ML
625;FILTRADO ESPUMANTE GARIBALDI MOSCATEL;PRODUTOS EPOCAS ESPECIAIS;GAR;750ML
626;FILTRADO ESPUMANTE GARIBALDI;PRODUTOS EPOCAS ESPECIAIS;GAR;660ML
627;GASEIFICADO FEST "DUSHY" S/ALCOOL;PRODUTOS EPOCAS ESPECIAIS;GAR;660ML
302;PANETTONE C/GOTAS CHOC.CLASSIC NESTLE;PRODUTOS EPOCAS ESPECIAIS;CXA;500GR
214;PANETTONE C/FRUTAS ZERO "LOWCUCAR";PRODUTOS EPOCAS ESPECIAIS;CXA;400GR
216;PANETTONE S/GLUTEN "JASMINE";PRODUTOS EPOCAS ESPECIAIS;CXA;300GR
261;CHOCOTTONE AVELA/TRUFA/MOUSE `BAUDUCO`;PRODUTOS EPOCAS ESPECIAIS;CXA;550GR
265;CHOCOTTONE C/ GOTAS CHOCOLATE "BAUDUCCO";PRODUTOS EPOCAS ESPECIAIS;CXA;500GR
304;PANETTONE C/DOCE L MOCA GATEAU "NESTLE";PRODUTOS EPOCAS ESPECIAIS;CXA;550GR
305;PANETTONE ALPINO CREMOSO "NESTLE";PRODUTOS EPOCAS ESPECIAIS;CXA;400GR
503;AVE SUPREME "SADIA";PRODUTOS EPOCAS ESPECIAIS;GRA;1KG
543;LOMBO "PERDIGAO";PRODUTOS EPOCAS ESPECIAIS;GRA;1KG
628;ESPUMANTE "SALTON" DEMI-SEC;PRODUTOS EPOCAS ESPECIAIS;GAR;660ML
629;ESPUMANTE "SALTON" MOSCATEL;PRODUTOS EPOCAS ESPECIAIS;GAR;750ML
630;ESPUMANTE "AURORA" MOSCATEL;PRODUTOS EPOCAS ESPECIAIS;GAR;750ML
631;ESPUMANTE "CHANDON" - DEMI-SEC RICHE;PRODUTOS EPOCAS ESPECIAIS;GAR;750ML
274;PANETTONE ESP.UVA E DAMASCO `BAUDUCO`;PRODUTOS EPOCAS ESPECIAIS;CXA;500GR
632;ESPUMANTE "CHANDON" - PASSION ROSE;PRODUTOS EPOCAS ESPECIAIS;GAR;750ML
483;Ameixa vermelha;HORTIFRUTIGRANJEIROS;GRA;1KG
484;Pessego;HORTIFRUTIGRANJEIROS;GRA;1KG
485;Nectarina;HORTIFRUTIGRANJEIROS;GRA;1KG
486;Uva Niagara;HORTIFRUTIGRANJEIROS;GRA;1KG
220;PANETONE C/FRUTAS "SANTA EDWIGES";PRODUTOS EPOCAS ESPECIAIS;LTA;750GR
221;PANETONE C/GOTAS DE CHOC."SANTA EDWIGES";PRODUTOS EPOCAS ESPECIAIS;LTA;750GR
222;PANETONE GOTAS BELGA "SANTA EDWIGES";PRODUTOS EPOCAS ESPECIAIS;CXA;500GR
223;PANETONE C/FRUTAS ESP. "SANTA EDWIGES";PRODUTOS EPOCAS ESPECIAIS;CXA;500GR
224;PANETONE BRIG/TRUF/DLEITE"SANTA EDWIGES";PRODUTOS EPOCAS ESPECIAIS;CXA;500GR
225;PANETONE C/FRUTAS ZERO "SANTA EDWIGES";PRODUTOS EPOCAS ESPECIAIS;CXA;400GR
226;PANETONE C/GOTAS ZERO "SANTA EDWIGES";PRODUTOS EPOCAS ESPECIAIS;CXA;400GR
506;AVE NAVIDAD "COPACOL";PRODUTOS EPOCAS ESPECIAIS;GRA;1KG
544;LOMBO S/OSSO "AURORA";PRODUTOS EPOCAS ESPECIAIS;GRA;1KG
545;LOMBO S/OSSO "FRIMESA";PRODUTOS EPOCAS ESPECIAIS;GRA;1KG
546;LOMBO S/OSSO "SADIA";PRODUTOS EPOCAS ESPECIAIS;GRA;1KG
227;PANETONE C/FRUTAS PREMIUM `SANTA EDWIGES;PRODUTOS EPOCAS ESPECIAIS;CXA;400GR
256;CHOCOTTONE FRUTAS VERMELHAS `BAUDUCO`;PRODUTOS EPOCAS ESPECIAIS;CXA;500GR
257;CHOCOTTONE GOTAS E LARANJA `BAUDUCO`;PRODUTOS EPOCAS ESPECIAIS;CXA;500GR
258;CHOCOTTONE OVOMALTINE `BAUDUCO`;PRODUTOS EPOCAS ESPECIAIS;CXA;500GR
259;CHOCOTTONE SNICKRES `BAUDUCO`;MATERIAL DE LIMPEZA;CXA;500GR
309;PANETONE GOTAS MEIO AMARGO E GAMBERRY;PRODUTOS EPOCAS ESPECIAIS;CXA;400GR
310;PANETONE GO MEIO AMARGO AMENDOAS DAMASCO;PRODUTOS EPOCAS ESPECIAIS;CXA;400GR
259;CHOCOTTONE SNICKERS `BAUDUCCO`;PRODUTOS EPOCAS ESPECIAIS;CXA;500GR
